doc_id,title,seed_source,char_count,raw_token_count,clean_token_count,unique_token_count,vocab_richness,avg_word_length
doc_00001,Artificial intelligence,Artificial intelligence,87099,12728,8003,2720,0.33987254779457704,5.471558768070396
doc_00002,Machine learning,Machine learning,58096,8048,5281,1770,0.3351637947358455,5.820700795228628
doc_00003,Deep learning,Deep learning,56177,7926,5251,1860,0.35421824414397257,5.698334595003785
doc_00004,Neural network,Neural network,5331,741,482,268,0.5560165975103735,5.8812415654520915
doc_00005,Natural language processing,Natural language processing,32382,4278,2762,1093,0.39572773352643015,5.646096306685367
doc_00006,Computer vision,Computer vision,39153,5534,3611,1259,0.3486568817502077,5.628297795446332
doc_00007,Robotics,Robotics,33100,4834,3133,1431,0.45675071816150653,5.521514273893256
doc_00008,15.ai,Artificial intelligence,28446,4100,2690,1180,0.43866171003717475,5.525853658536585
doc_00009,Action potential,Neural network,68401,9976,6021,1672,0.27769473509383824,5.471732157177225
doc_00010,1 the Road,Natural language processing,4662,738,455,303,0.6659340659340659,4.941734417344174
doc_00011,2D to 3D conversion,Computer vision,14794,2234,1386,630,0.45454545454545453,5.269919427036705
doc_00012,1X Technologies,Robotics,2928,406,270,189,0.7,5.524630541871921
doc_00013,2008 financial crisis,Machine learning,116373,16915,10630,2762,0.25983066792097836,5.3859296482412065
doc_00014,ACT-R,Deep learning,18634,2686,1616,713,0.4412128712871287,5.481757259865971
doc_00015,Activation function,Neural network,12434,988,649,313,0.48228043143297383,5.786437246963563
doc_00016,3D modeling,Natural language processing,21929,3144,1986,932,0.4692849949647533,5.589058524173028
doc_00017,3D microfabrication,Robotics,10514,1520,936,480,0.5128205128205128,5.542105263157895
doc_00018,2001: A Space Odyssey,Artificial intelligence,75513,11701,6972,2686,0.38525530694205395,4.993248440304248
doc_00019,AAAI Conference on Artificial Intelligence,Machine learning,3663,460,386,169,0.4378238341968912,5.995652173913044
doc_00020,AI-assisted software development,Deep learning,2960,399,288,175,0.6076388888888888,5.972431077694235
doc_00021,Adaptive control,Neural network,7222,942,687,317,0.46142649199417757,6.097664543524417
doc_00023,3D printing,Robotics,72821,10428,6579,2375,0.3609971120231038,5.545838128116609
doc_00024,2001: A Space Odyssey (novel),Artificial intelligence,21025,3147,1915,1012,0.5284595300261097,5.0104861773117255
doc_00025,ACM Computing Classification System,Machine learning,2742,352,259,167,0.6447876447876448,5.7897727272727275
doc_00026,AI agent,Deep learning,20054,2851,1934,948,0.4901758014477766,5.684321290775166
doc_00027,Alexander Bain (philosopher),Neural network,15751,2325,1352,670,0.49556213017751477,5.2972043010752685
doc_00028,3D object recognition,Computer vision,6575,935,602,273,0.45348837209302323,5.514438502673797
doc_00029,3D publishing,Robotics,3100,434,279,176,0.6308243727598566,5.52073732718894
doc_00030,2024 Indian general election,Artificial intelligence,49902,7319,4660,1758,0.37725321888412017,5.261374504713759
doc_00031,ACM Computing Surveys,Machine learning,748,100,69,46,0.6666666666666666,5.68
doc_00032,AI alignment,Deep learning,43651,6434,4120,1413,0.3429611650485437,5.5203605843954
doc_00033,Artificial neuron,Neural network,21665,2375,1472,619,0.4205163043478261,5.532631578947369
doc_00034,AI-complete,Natural language processing,4897,679,434,251,0.5783410138248848,5.553755522827688
doc_00035,3D pose estimation,Computer vision,5367,757,454,226,0.4977973568281938,5.309114927344782
doc_00036,ABB,Robotics,30058,4260,2868,1108,0.38633193863319387,5.505399061032864
doc_00037,3D optical data storage,Artificial intelligence,3738,546,361,226,0.6260387811634349,5.261904761904762
doc_00038,AI anthropomorphism,Deep learning,27097,3972,2419,1081,0.4468788755684167,5.555135951661631
doc_00039,Backpropagation,Neural network,88765,4308,2697,813,0.3014460511679644,5.526926648096564
doc_00040,3D reconstruction,Computer vision,22036,2340,1498,684,0.45660881174899864,5.652564102564103
doc_00041,AC motor,Robotics,36096,5545,3442,1041,0.30244044160371875,5.116140667267809
doc_00042,A* search algorithm,Artificial intelligence,35142,3152,1819,653,0.3589884551951622,5.031091370558376
doc_00043,ADALINE,Machine learning,7564,769,504,245,0.4861111111111111,5.535760728218466
doc_00044,AI boom,Deep learning,17995,2641,1689,910,0.5387803433984606,5.374858008330178
doc_00045,Biocybernetics,Neural network,5771,793,491,277,0.5641547861507128,5.851197982345523
doc_00046,3D reconstruction from multiple images,Computer vision,22223,2231,1347,621,0.4610244988864143,5.569699686239354
doc_00047,AI art,Robotics,22334,3219,2105,998,0.47410926365795725,5.53650201926064
doc_00048,A.I. Artificial Intelligence,Artificial intelligence,25984,3968,2506,1286,0.5131683958499601,5.055695564516129
doc_00049,AI bubble,Deep learning,11775,1759,1165,602,0.5167381974248927,5.156907333712336
doc_00050,Neural network (biology),Neural network,14059,1998,1227,549,0.4474327628361858,5.7857857857857855
