normalize,ngram_range,feature_type,vocab_size,sparsity_pct,mean_cv_macro_f1,std_cv_macro_f1
lemmatize,unigram,tfidf,13558,93.39165670693708,0.5146258503401361,0.09327979365191484
stem,unigram,tfidf,10058,92.3900560423016,0.507312925170068,0.08853131242999587
none,unigram,tfidf,15284,93.70383327369157,0.5061224489795918,0.08992337892599303
stem,unigram,bow,10058,92.3900560423016,0.47794784580498867,0.04440491062990367
none,unigram,bow,15284,93.70383327369157,0.474546485260771,0.04704064416769199
none,unigram+bigram,bow,109363,97.24790330349013,0.46383219954648525,0.05688819997182245
lemmatize,unigram+bigram,bow,105295,97.23224642912865,0.46383219954648525,0.05688819997182245
stem,unigram+bigram,bow,98601,97.20348905680262,0.46383219954648525,0.05688819997182245
lemmatize,unigram,bow,13558,93.39165670693708,0.4565192743764172,0.06966515899394247
stem,unigram+bigram,tfidf,98601,97.20348905680262,0.455952380952381,0.03569443892991656
lemmatize,unigram+bigram,tfidf,105295,97.23224642912865,0.455952380952381,0.03569443892991656
none,unigram+bigram,tfidf,109363,97.24790330349013,0.41763038548752834,0.15090667809782746
